DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1775750697,848716020,801,16,,4/9/2026,11:04:57,16678.117,444.08029,2148.2471,39.2816,54.92,29.0738,40.2813,0.00578152,11.3951,54.4615,563.75,0.533122,14.5118,42
DATA,1775750698,848716020,805,16,,4/9/2026,11:04:58,16775.314,443.93494,2148.3164,39.2828,54.9208,29.0759,40.2813,0.00582372,11.3953,54.4623,277,0.533122,14.5118,12
DATA,1775750699,848716020,809,16,,4/9/2026,11:04:59,16924.533,440.55246,2147.9497,39.2804,54.9216,29.0742,40.2813,0.00587006,11.3945,54.4629,-713.25,0.53293,14.5102,152
DATA,1775750700,848378896,813,16,,4/9/2026,11:05:00,16778.719,445.77512,2147.9648,39.2816,54.9226,29.0721,40.2796,0.00581695,11.3946,54.4634,-61.5,0.531014,14.511,63
DATA,1775750701,848378896,817,16,,4/9/2026,11:05:01,16529.67,449.11115,2145.7317,39.2812,54.9233,29.0725,40.2786,0.00571719,11.3957,54.464,-1154,0.530823,14.5086,3
DATA,1775750702,848378896,821,19,,4/9/2026,11:05:02,15805.949,957.5675,2056.3376,39.2774,54.9241,29.0394,40.2871,0.0328268,11.3961,54.4648,-4033.75,0.543083,14.509,135
DATA,1775750703,848378896,825,19,,4/9/2026,11:05:03,16562.943,483.90536,2154.1416,39.2795,54.9251,28.9929,40.2917,0.00719287,11.3961,54.4654,-1090.5,0.543083,14.5086,235
DATA,1775750704,848378896,829,18,,4/9/2026,11:05:04,16451.869,448.95187,2145.7773,39.2824,54.926,28.9784,40.2907,0.00558155,11.396,54.4659,-499,0.543083,14.5079,25
DATA,1775750705,848378896,833,18,,4/9/2026,11:05:05,16361.196,451.56259,2144.9729,39.2804,54.927,28.9664,40.2905,0.00546189,11.3965,54.4667,-1003.25,0.543083,14.5079,237
DATA,1775750706,848378896,837,16,,4/9/2026,11:05:06,16332.713,454.25189,2144.5891,39.2816,54.9278,28.9572,40.2894,0.00543327,11.3967,54.4673,-259.5,0.541168,14.509,146
